review,rating,label
good buy 999 rupeesread more,5,1
best priceread more,5,1
osm productbuild quality little bit unsatisfiedsound quality bass amazingand rest quite goodread more,5,1
very good product read more,5,1
nice headphone good qualityread more,5,1
excellent product bass superbi love itread more,5,1
satisfied product sound quality awesome bass goodread more,5,1
very nice sound quality comfortableread more,5,1
best sound quality battery backupread more,5,1
just awesomeread more,5,1
beautiful design comfortable wear sound quality battery back also good thank flipkart giving nice product rangeread more,5,1
nice product love amazingread more,5,1
this item good i love itread more,5,1
i impressed sound soundread more,5,1
finally today i received product open box i got osm headphone i like itread more,5,1
sound quality awesome mi phone u need third party equalizer boost bass make sound proper overall product awesomemic good ok compromise price range i got headphone 999 if u feel review helpful give likeread more,5,1
awesome sound i happy quality goodread more,5,1
very nice product every one really awesomeread more,5,1
like product design sound quality goodread more,5,1
awesome sound quality beginning i like 8 hr battery backup sufficient music lover like purchasing starting using i came know i dont listen music 3 hr day i use almost 3 day single charge i happy headphone everything recommended product read more,5,1
good expected i got 999 greatread more,5,1
nicrread more,5,1
this great product shound impressiveread more,5,1
it power packed performance product good giving 8 hour backup battery comfortable fold light wait prossuper basslong lasting batteryhd claritylong range frequencyfinally product good thank flipkartread more,5,1
it good bass also good wonderful awesome headphone i love thatread more,5,1
good product read more,5,1
best sound qualityread more,5,1
good quality and sound also niceread more,5,1
purchasing product good deal excellent audio thumping bass great batteryamazing product would suggest everyone buy awesome headphoneread more,5,1
this product really good dont problem im using product last 45 month still work exillentread more,5,1
very good read more,5,1
very nice headphone 1499all thing bassbattery etc good nice condition cameread more,5,1
best product reasonable price great basso really like itread more,5,1
really osummi loved ittttt read more,5,1
best everread more,5,1
fantastic hvy bass fabulous sound qualityread more,5,1
very nice at reasonable price go u plug headphn u cant stop urself dancingread more,5,1
all feature gr8just earpain occurs long useread more,5,1
full bassread more,5,1
super product build quality soo good ok sound quality good i loved read more,5,1
nice product should try onceread more,5,1
nice happy boat awesome i love itread more,5,1
thank much flipkartthanks boat read more,5,1
this headphone nice product build qualityand sound quality also soo nice i like headphoneread more,5,1
excellent product good sound pricegood quality nice productit light watei like headsetit work full and work jack bluetooth it talking headphone powerful speakerread more,5,1
it fineread more,5,1
i using product around one week actually feel nice hand quality product par excellence feel hand sleek the bass high vibrationits tight first use fit head comfortable i personally use headphone travelling this good product battery back also last day journey think i used week really loving ithere detailed rread more,5,1
product amazing according price best product sound quality really good bass good battery backup also good best productread more,5,1
excellent product go itread more,5,1
i like good base sound quality also good i suggest u want head phone buy thisread more,5,1
awesome product price bought january may still condition eith fault u r bgm lover go one u r gamer wont support thnx flipkartread more,5,1
rockerz 400 blutooth headset best choice price battery support mark otherwise best doubtread more,5,1
very good product loved itread more,5,1
best head phoneread more,5,1
product good sound nice bass also gud nd filpkart service gud like itread more,5,1
reviewing 5 day usei used earlier friend this worth buying 999 excellent sound excellent bass excellent build qualityread more,5,1
excellent sound qualityread more,5,1
bestbnfjdhjdjcjcjgjvkghdhdjjfifkvjvufufhdidjjfjfucjjfjjxhxjxjxjxjdjduxjksiaihdhdjdidkkdikjkxjdjjdjxhchcjzkksiasihdhdhdbzkjsiuduhdhbbjjjdididjikxkjchchsiiaiajjbbgfshjudbdhhxjjdjjhxxvydjndjudbdhudhdjdjdjdiidjdhdujdbiksiiehdujdyyuebndnunxhujxbdhxhhhfhhfjffjfhfuuujchhchfhchxhchxucucucuxuucifjjdhhducucuucjfbfhfjxdksokwmjwuudhebdjiuhdbrbjyydbvdgxbddioskwjwqkidpjduqpjeuudyghjdjduhdhxhchhdhfjduijwbhshdjjjjjjjdjjudididhhxhxyxucucucuccuhcuxuxuxuxuxuxuxxuuxuxuxuxuxuxuxuxuxdhehhdhdhdhdhdhdhdhhdhhdhread more,5,1
at price range product sound quality good crystal clear bass also deep product durable battery life also good shipment hd taken time approximately 9 day getting cool product mind settled thank u boat creation thank u flipkart ur good service read more,5,1
one word superb every segmentread more,5,1
awesome product happy buy every thing great fitting goodread more,5,1
best headphoneread more,5,1
wow just loved battery backup look quite cooli bought online class much stasfied if youre looking best product cheap rate go grab oneread more,5,1
very good headphoneread more,5,1
fabolous product got watching many review youtube product finally purchased 1200 inrand got superlight weight accessory delievers crisp clear sound perfect bass balance also wireless conectivity aux cable fullfill condition batteru backup mentioned box ie 8 hour go blindly instead buying jbl moto pulsepulse max 1500read more,5,1
one earlier gifted someone got momeverything gr8 boat service n sale gr8flipkart delivery speed gr8product genuinely gr8soundgr8built gr8price gr8 see no sold speaks quality price massesonly problem headphone tight sometime ear start paining may b month usage may loose little n button plastic seems cheap rest overall look premium qualityread more,5,1
awsome product quality product good love productread more,5,1
good read more,5,1
nothing much say awesome read more,5,1
really a lovely productread more,5,1
value money go simply amazingread more,5,1
best headphone everread more,5,1
good basegood quality productsread more,5,1
superb read more,5,1
after listening u feel like whole world silent u r rockingread more,5,1
good product nice sound but the built quality of the switch are not that much good we can said it average other wise itz a gud product with eye catching lookread more,5,1
i happyread more,5,1
great headphone nice sound quality bass convenient carry perfect snuggle fit around earsgot great bargain 700 flipkart saleread more,5,1
osm sound superb bassread more,5,1
good qualitysuper batteryread more,5,1
it amazing experienceread more,5,1
first boat i already 6 headphone senieser sony philip skullcandy inear sony jbl etc experiencing wellknown brand i never expected amazing output boat price point different hear favorite track piece enjoying small tip laptop mobiledont go equalizer bass boosted play flat quality track 320kbps higher flacs result blow mindread more,5,1
amazing headphone sound quality good battery backup good overall great product i bought r 964 saleread more,5,1
better nice lookread more,5,1
an amazing headphone 1000 i use mainly gaming minimalzero latencyyou hear every detail game really helpful portable the build best i would say definitely lightest wireless headphone around im confident worth moneysometimes i use laptop using 35mm cable happy itread more,5,1
maniy yus fullread more,5,1
it excellentread more,5,1
good product little bit tight bass sound quality awesome i dont get aux usb charger cablei think becouse price 1099 r i problem nice product first buy flipkartdate 23022018 using product 4 month not single issue head phone after 1 month headphone get loose fit good head battery become little bit lesser still i u quite oftenread more,5,1
osm bass amazing battery backupread more,5,1
i love itexcellent bass soundread more,5,1
simply nirvanaread more,5,1
headset niceread more,5,1
i order son he loved much boat head phonethx flipcartread more,5,1
this nice product hadphone bass good battery good thank u flipkartread more,5,1
delivery time amazing audio quality good bass good design soft material used harm ear must buy music loversread more,5,1
aaa best sound quality awesome i like bettry backup awesome awesome headset niceread more,5,1
go itread more,5,1
just awesome product awesome sound quality deep bass it personal opinion buy reasonable price thank flipkart awesome productread more,5,1
i bought flipkart sale rs999 i must say worth price bass pretty cool sound quality awesomeworking perfectly bass superbyou might feel tight earsbut 23 daysits perfectread more,5,1
great product 1200sound quality great battery backup awasomgo itits 100 valie moneyread more,5,1
hear lot thing fact sound quality really awesome bass excellent look design perfect yaar bass dil chu liya pubg v buht mast kaam kar raha hai latency time perfect micro second doesnt matterbut one thing play pubg set volume moderate level otherwise due high bass ear get pain headache sound quality lajawaabread more,5,1
super great also usefull productread more,5,1
it good student college studentread more,5,1
fabulousread more,5,1
this product awesome sound quality excellentread more,5,1
to headphone better choice budget it sound quality awesome battery backup perfect approx 9 10 hour but build quality average in one word better choiceread more,5,1
i writing review using one weeki happily say headphone awesomesound pretty goodbass design also goodand important thing perfectly tight earsthis much worthy product price rangei got 1050 salebut price enough buy productbelieve go never regret rangeread more,5,1
it good experienced good sound quality also great pricejust lived itread more,5,1
everything good awesome good quality shown pic must buy filpkart improve ur delivery time ordering 20 day i received try give timeread more,5,1
thank flipkart cool voice bastread more,5,1
nice productgood bassvoice quility niceeverytbing gudread more,5,1
osm headphone ever enjoy lot best headphone brought coolheadsetread more,5,1
this good songsread more,5,1
i saw many review headphone tight head pain tight comfortable sound quality awesome ear cup soft comfortable the best thing made wired help aux cable chargedread more,5,1
super bassread more,5,1
nice product aux work without charging alsoread more,5,1
good someone like soft anf sweet soundread more,5,1
good sound qualityread more,5,1
the bass sound aswsome you face issue sound bass awesome it feel like djparty best woofer the bass mindblowing but comfort level lottle low boat make headphone oval shape circle thats ypu eye start paing within 10 min but use month maybe get loosebut boat make shape little oval style perfectly fir ear asread more,5,1
excellent quality super bass much buy product cant listen much time excellent qualityread more,5,1
very nice quality material sound bass thanx flipkartread more,5,1
veru good deal gifted brother happy battery backuo also good brother us daily full day use headset playing gameread more,5,1
superb deal worth money 999 bluetooth 20 old techniquemeans limited rangeoverall must buy productread more,5,1
well sound qualityread more,5,1
good product value money stylish look tight ear pain coming heard long time hold ear wise goodread more,5,1
quality good sound quality also better ear cushion get warm please change good materialread more,5,1
nicread more,5,1
it awesome product it awesome bass read more,5,1
very nice product boatread more,5,1
king 1000rsread more,5,1
productread more,5,1
good sound expected ear paining long listeningread more,5,1
great headphone good delivery well done flipkart happy product wellbought 1000 still going way read more,5,1
best headphone marketread more,5,1
value money love sound qualityread more,5,1
it amzing product used nearly 1 month may less buy sherching headphonesread more,5,1
one thing looking best headphone budget superb sound quality bass good finishingread more,5,1
good sound quality bass awesome low build qualityoverall best price rangeread more,5,1
supprrrr read more,5,1
best product bass sound waste money best headphonesread more,5,1
pro superb bass clear soothing sound best preferred rangecons couldnt find in rangeread more,5,1
received todayso far goodread more,5,1
all goodread more,5,1
sound quality divineread more,5,1
such amazing product good qualityread more,5,1
very nice product i happy read more,5,1
awesome soundread more,5,1
it seriously goodim enjoying using headphoneit seriously give good sound system bassread more,5,1
osm quality amazing sound bluetooth connectivity week read more,5,1
very nice product sound bass quality outstandingread more,5,1
best headphoneread more,5,1
people hurt heal read more,5,1
extra powerful bass very comfortable ear solid design best bluetooth connectivity it two one product amazing calling microphone read more,5,1
super bass good sound read more,5,1
amazing headphone wireless connectivity gifted dad n i must say hat boat company wonderful headphone this better current sony headphone priceread more,5,1
best budget headset price range 999 buy offer period sound quality awesome bass extremely good battery backup 8 hour charging time 1 half hour main con 1tight ear cuff 2 sweating 20 minute want adjust regular interval mike quality worst person hearing surrounding noise 3overall rating 8510 bass 910 sound quality 910 built quality 710 battery backup 9read more,5,1
good quality head phone read more,5,1
just luvd the classy look tooi received yesterday 300pm nd im continuesly using nd best thing i hvnt charged till awsm battery backup thnx flipkartread more,5,1
sound quality good lite weight problem mic proper talking person cant hear voice properly tht osm productread more,5,1
awesome built quality i might purchased offer spent may couple hundred worth every penny easily connects via wireless latest device laptop very good range clarity can used rough tough useread more,5,1
best product ever madeeverything is perfectly fineread more,5,1
best ever product boatread more,5,1
nice product and excellent delivery facility by flipkartread more,5,1
good headphone good bass 20r30mins ear little painread more,5,1
i tried intex jogger level 2 others however quality satisfaction i got model i cant explain simply superb superb clarity sound rich bass value money get start loving first dayread more,5,1
shipment packed properly inside box boat got torned requesting flipkart kindly improve packing technique persent gift someone good inner box torned offread more,5,1
fabulous product priceread more,5,1
super qualityi got blue tooth headset r 1000 awesome price rangebass best price rangeread more,5,1
beyond expectation sound quality superb extremely satisfied product it feel ruf tuf solid build and best part connect computer mobile simultaneouslyread more,5,1
nice product good product i happy bad varry niceread more,5,1
excellent purchaseread more,5,1
good quality product affordable rateread more,5,1
very niceread more,5,1
super bassread more,5,1
headphone good bt voice calling good mean term headphone work amazing bt good calling purpose mic doenst workedread more,5,1
awesome product every angelsuch battery backup really 10 hour solid reach bass smooth sound qualityi recommend everyoneread more,5,1
nice product good audio clarity bassonly one minus ear sweating sponge good overall niceread more,5,1
i using monthi ordered i day sale m perplexed output harmonyits pleasing soothing ear bass good compared price rangethe conectivity good old phone n phone bluetooth suck work robustly computer bluetooth n new age smartphones the battery backup quite good last upto 7 hr n aftr signal might get little distorted a 15 min charge cn last houri havread more,5,1
sound bass powerful i love awesome thanks flipkart fast deliveryread more,5,1
